id,severity,category,file,line,symptom,root_cause_id,impact,fix_action,status
FL-0001,P3,coverage,".env.local",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0002,P3,coverage,".gitignore",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0003,P3,coverage,".nvmrc",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0004,P3,coverage,"README.md",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0005,P3,coverage,"app/favicon.ico",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0006,P3,coverage,"app/globals.css",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0007,P3,coverage,"app/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0008,P3,coverage,"app/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0009,P3,coverage,"app/projects/fraud-radar/FraudClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0010,P3,coverage,"app/projects/fraud-radar/FraudInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0011,P3,coverage,"app/projects/fraud-radar/FraudShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0012,P3,coverage,"app/projects/fraud-radar/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0013,P3,coverage,"app/projects/fraud-radar/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0014,P3,coverage,"app/projects/fraud-radar/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0015,P3,coverage,"app/projects/fraud-radar/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0016,P3,coverage,"app/projects/fraud-radar/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0017,P3,coverage,"app/projects/fraud-radar/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0018,P3,coverage,"app/projects/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0019,P3,coverage,"app/projects/netflix-roi/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0020,P3,coverage,"app/projects/netflix-roi/InteractiveSection.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0021,P3,coverage,"app/projects/netflix-roi/NetflixClient.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0022,P3,coverage,"app/projects/netflix-roi/NetflixInteractive.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0023,P3,coverage,"app/projects/netflix-roi/NetflixShell.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0024,P3,coverage,"app/projects/netflix-roi/error.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0025,P3,coverage,"app/projects/netflix-roi/layout.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0026,P3,coverage,"app/projects/netflix-roi/loading.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0027,P3,coverage,"app/projects/netflix-roi/page.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
FL-0028,P3,coverage,"app/projects/ord-lga-price-war/Hero.tsx",1,"Reviewed in exhaustive sweep","","No blocking issue recorded for this file in this pass","None","pass"
